Latitude,Longitude,Unique_Squirrel_ID,Shift,Date,Age,Primary_Fur_Color,Location,Specific_Location,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
-73,40,39G-AM-1018-01,AM,10182018,Adult,Gray,Ground Plane,nan,False,False,False,False,False,dead (something ran over it),False,False,False,False,False,False,False,False
-73,40,32G-PM-1013-03,PM,10132018,Juvenile,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,4D-PM-1008-11,PM,10082018,Adult,Cinnamon,Above Ground,on tree facing downward,False,True,False,False,False,chased #12,True,False,False,True,False,False,False,True
-73,40,6H-AM-1008-01,AM,10082018,Adult,Cinnamon,Ground Plane,nan,False,False,False,True,False,nan,False,False,False,False,False,False,False,False
-73,40,5E-AM-1008-08,AM,10082018,Adult,Gray,Ground Plane,nan,True,False,False,False,False,nan,False,False,False,False,False,False,True,False
-73,40,15D-PM-1017-01,PM,10172018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,16E-AM-1014-03,AM,10142018,Adult,Gray,Ground Plane,nan,False,False,False,True,True,nan,False,False,False,False,False,True,False,False
-73,40,39H-PM-1013-02,PM,10132018,Juvenile,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,True,False,True,False
-73,40,39C-PM-1006-02,PM,10062018,Adult,Gray,Above Ground,nan,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
-73,40,31A-AM-1010-04,AM,10102018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,True,False,False,False
-73,40,9F-PM-1014-02,PM,10142018,Adult,Gray,Ground Plane,nan,False,False,False,True,False,nan,False,False,False,False,False,False,True,False
-73,40,21G-PM-1007-02,PM,10072018,Adult,Gray,Ground Plane,nan,False,False,False,True,False,nan,False,False,False,True,False,False,False,True
-73,40,2F-AM-1006-01,AM,10062018,Adult,Gray,Ground Plane,walking along path,False,False,False,False,True,nan,False,False,False,False,True,False,True,False
-73,40,20F-PM-1007-01,PM,10072018,Adult,Gray,Ground Plane,nan,False,False,False,True,True,nan,False,False,False,False,True,False,True,False
-73,40,35E-PM-1006-01,PM,10062018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,True,False,False
-73,40,9G-AM-1007-04,AM,10072018,Adult,Gray,Above Ground,nan,False,False,False,False,False,grooming,False,False,False,False,False,False,True,False
-73,40,5D-PM-1018-03,PM,10182018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,14F-PM-1012-06,PM,10122018,Adult,Cinnamon,Ground Plane,nan,False,False,False,True,True,nan,False,False,False,False,True,False,True,False
-73,40,23F-AM-1018-01,AM,10182018,Adult,Cinnamon,Above Ground,nan,False,False,True,False,False,nan,False,False,False,False,False,False,True,False
-73,40,39A-PM-1014-02,PM,10142018,Adult,Gray,Ground Plane,nan,False,True,False,False,False,nan,False,False,False,False,False,False,False,False
-73,40,13A-PM-1014-03,PM,10142018,Adult,Gray,Above Ground,nan,False,False,True,False,False,nan,False,False,False,False,False,False,False,True
-73,40,10B-AM-1006-02,AM,10062018,Juvenile,Gray,Above Ground,High in a tree,False,False,True,False,False,nan,False,False,False,False,False,False,True,False
-73,40,38B-AM-1019-01,AM,10192018,Adult,Gray,Ground Plane,nan,True,False,False,False,False,nan,False,False,False,False,False,False,False,True
-73,40,9G-PM-1007-06,PM,10072018,Adult,Gray,Ground Plane,nan,False,False,False,True,False,nan,False,False,False,False,False,False,False,False
-73,40,40B-AM-1019-02,AM,10192018,Juvenile,Gray,Ground Plane,nan,True,True,False,False,False,nan,False,False,False,False,True,False,False,False
-73,40,35D-PM-1013-04,PM,10132018,Juvenile,Gray,nan,nan,False,False,False,False,False,nan,False,False,False,False,False,False,False,False
-73,40,10G-PM-1017-10,PM,10172018,Adult,Gray,Ground Plane,nan,False,True,False,False,False,playing (with #9),False,False,False,False,False,False,True,False
-73,40,13C-AM-1010-04,AM,10102018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,True,False,True,False
-73,40,32C-PM-1013-12,PM,10132018,Adult,Gray,Ground Plane,nan,True,False,False,False,True,nan,False,False,False,False,True,True,False,False
-73,40,37F-PM-1014-01,PM,10142018,nan,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,False,True
